Theta, Alpha, Low_beta, High_beta, Gamma 
0,0,0,0,0
90.76994199,36.93031035,22.86450266,15.82638333,11.75869793
101.5739348,34.77094056,17.318136,7.936065142,2.403867967
89.38990627,32.64663924,16.65941043,9.067973514,4.308669429
87.72462207,37.84368795,19.61348393,13.68696455,8.890227013
87.04987436,32.98077518,19.05956047,11.96534125,7.750141898
90.76994199,36.93031035,22.86450266,15.82638333,11.75869793
101.5739348,34.77094056,17.318136,7.936065142,2.403867967
89.38990627,32.64663924,16.65941043,9.067973514,4.308669429
87.72462207,37.84368795,19.61348393,13.68696455,8.890227013
87.04987436,32.98077518,19.05956047,11.96534125,7.750141898
90.76994199,36.93031035,22.86450266,15.82638333,11.75869793
101.5739348,34.77094056,17.318136,7.936065142,2.403867967
89.38990627,32.64663924,16.65941043,9.067973514,4.308669429
87.72462207,37.84368795,19.61348393,13.68696455,8.890227013
87.04987436,32.98077518,19.05956047,11.96534125,7.750141898
90.76994199,36.93031035,22.86450266,15.82638333,11.75869793
101.5739348,34.77094056,17.318136,7.936065142,2.403867967
89.38990627,32.64663924,16.65941043,9.067973514,4.308669429
87.72462207,37.84368795,19.61348393,13.68696455,8.890227013
87.04987436,32.98077518,19.05956047,11.96534125,7.750141898
0.775356491,0.213156452,0.194462139,0.118616349,0.093775475
0.320239897,0.432872278,0.504810071,0.600081819,0.338831496
0.778196067,0.216991865,0.296160384,0.219211381,0.084283546
1.108267629,0.523894942,0.564097333,0.340350701,0.447335012
1.197963181,0.138917889,0.252727799,0.149857758,0.14210237
0.775356491,0.213156452,0.194462139,0.118616349,0.093775475
0.320239897,0.432872278,0.504810071,0.600081819,0.338831496
0.778196067,0.216991865,0.296160384,0.219211381,0.084283546
1.108267629,0.523894942,0.564097333,0.340350701,0.447335012
1.197963181,0.138917889,0.252727799,0.149857758,0.14210237
0.775356491,0.213156452,0.194462139,0.118616349,0.093775475
0.320239897,0.432872278,0.504810071,0.600081819,0.338831496
0.778196067,0.216991865,0.296160384,0.219211381,0.084283546
1.108267629,0.523894942,0.564097333,0.340350701,0.447335012
1.197963181,0.138917889,0.252727799,0.149857758,0.14210237
0.775356491,0.213156452,0.194462139,0.118616349,0.093775475
0.320239897,0.432872278,0.504810071,0.600081819,0.338831496
0.778196067,0.216991865,0.296160384,0.219211381,0.084283546
1.108267629,0.523894942,0.564097333,0.340350701,0.447335012
1.197963181,0.138917889,0.252727799,0.149857758,0.14210237
0.775356491,0.213156452,0.194462139,0.118616349,0.093775475
0.320239897,0.432872278,0.504810071,0.600081819,0.338831496
0.778196067,0.216991865,0.296160384,0.219211381,0.084283546
1.108267629,0.523894942,0.564097333,0.340350701,0.447335012
1.197963181,0.138917889,0.252727799,0.149857758,0.14210237
0.95698607,0.492887486,0.225860954,0.103743692,0.079700824
0.232662524,0.373412895,0.467459975,0.395428253,0.377206865
0.963503907,0.174990107,0.192656728,0.196341077,0.077110264
1.608602183,0.596095901,0.3394149,0.355517382,0.698406058
0.948689249,0.330212132,0.326231282,0.11399055,0.108983366
0.95698607,0.492887486,0.225860954,0.103743692,0.079700824
0.232662524,0.373412895,0.467459975,0.395428253,0.377206865
0.963503907,0.174990107,0.192656728,0.196341077,0.077110264
1.608602183,0.596095901,0.3394149,0.355517382,0.698406058
0.948689249,0.330212132,0.326231282,0.11399055,0.108983366
0.95698607,0.492887486,0.225860954,0.103743692,0.079700824
0.232662524,0.373412895,0.467459975,0.395428253,0.377206865
0.963503907,0.174990107,0.192656728,0.196341077,0.077110264
1.608602183,0.596095901,0.3394149,0.355517382,0.698406058
0.948689249,0.330212132,0.326231282,0.11399055,0.108983366
0.95698607,0.492887486,0.225860954,0.103743692,0.079700824
0.232662524,0.373412895,0.467459975,0.395428253,0.377206865
0.963503907,0.174990107,0.192656728,0.196341077,0.077110264
1.608602183,0.596095901,0.3394149,0.355517382,0.698406058
0.948689249,0.330212132,0.326231282,0.11399055,0.108983366
0.722394291,0.380979169,0.174134172,0.142552471,0.112156595
0.281546311,0.249455801,0.539432481,0.209462036,0.298550021
0.478826747,0.105195739,0.206534702,0.10402825,0.068597118
2.361019853,0.518023999,0.35166095,0.256006739,0.630435572
1.472435622,0.622110382,0.331106972,0.125529717,0.127190628
0.722394291,0.380979169,0.174134172,0.142552471,0.112156595
0.281546311,0.249455801,0.539432481,0.209462036,0.298550021
0.478826747,0.105195739,0.206534702,0.10402825,0.068597118
2.361019853,0.518023999,0.35166095,0.256006739,0.630435572
1.472435622,0.622110382,0.331106972,0.125529717,0.127190628
0.722394291,0.380979169,0.174134172,0.142552471,0.112156595
0.281546311,0.249455801,0.539432481,0.209462036,0.298550021
0.478826747,0.105195739,0.206534702,0.10402825,0.068597118
2.361019853,0.518023999,0.35166095,0.256006739,0.630435572
1.472435622,0.622110382,0.331106972,0.125529717,0.127190628
0.722394291,0.380979169,0.174134172,0.142552471,0.112156595
0.281546311,0.249455801,0.539432481,0.209462036,0.298550021
0.478826747,0.105195739,0.206534702,0.10402825,0.068597118
2.361019853,0.518023999,0.35166095,0.256006739,0.630435572
1.472435622,0.622110382,0.331106972,0.125529717,0.127190628
0.573234253,0.2724744,0.246701604,0.169329265,0.131049403
0.36150161,0.292170407,0.333530091,0.239342809,0.189386654
0.364626968,0.231573225,0.345963517,0.098427989,0.119832198
1.381101957,0.758730873,0.545577127,0.383533788,0.351896115
2.211401465,1.202654305,0.386361087,0.290459627,0.144343707
0.573234253,0.2724744,0.246701604,0.169329265,0.131049403
0.36150161,0.292170407,0.333530091,0.239342809,0.189386654
0.364626968,0.231573225,0.345963517,0.098427989,0.119832198
1.381101957,0.758730873,0.545577127,0.383533788,0.351896115
2.211401465,1.202654305,0.386361087,0.290459627,0.144343707
0.573234253,0.2724744,0.246701604,0.169329265,0.131049403
0.36150161,0.292170407,0.333530091,0.239342809,0.189386654
0.364626968,0.231573225,0.345963517,0.098427989,0.119832198
1.381101957,0.758730873,0.545577127,0.383533788,0.351896115
2.211401465,1.202654305,0.386361087,0.290459627,0.144343707
0.573234253,0.2724744,0.246701604,0.169329265,0.131049403
0.36150161,0.292170407,0.333530091,0.239342809,0.189386654
0.364626968,0.231573225,0.345963517,0.098427989,0.119832198
1.381101957,0.758730873,0.545577127,0.383533788,0.351896115
2.211401465,1.202654305,0.386361087,0.290459627,0.144343707
0.917549193,0.531611591,0.396060774,0.232547582,0.090039261
0.206597175,0.391185133,0.283372754,0.270868957,0.208181708
0.507820218,0.760426602,0.906169326,0.135042944,0.126795745
1.009147344,0.985290543,0.841604646,0.432235136,0.166164711
2.589738162,1.340187652,0.589007703,0.273674725,0.111673012
0.917549193,0.531611591,0.396060774,0.232547582,0.090039261
0.206597175,0.391185133,0.283372754,0.270868957,0.208181708
0.507820218,0.760426602,0.906169326,0.135042944,0.126795745
1.009147344,0.985290543,0.841604646,0.432235136,0.166164711
2.589738162,1.340187652,0.589007703,0.273674725,0.111673012
0.917549193,0.531611591,0.396060774,0.232547582,0.090039261
0.206597175,0.391185133,0.283372754,0.270868957,0.208181708
0.507820218,0.760426602,0.906169326,0.135042944,0.126795745
1.009147344,0.985290543,0.841604646,0.432235136,0.166164711
2.589738162,1.340187652,0.589007703,0.273674725,0.111673012
0.917549193,0.531611591,0.396060774,0.232547582,0.090039261
